cod,nome,periodo,negro,naonegro
1076,BRA,2000,23549,18226
1076,BRA,2001,25438,18921
1076,BRA,2002,27011,19106
1076,BRA,2003,28621,19287
1076,BRA,2004,28045,17526
1076,BRA,2005,28817,16056
1076,BRA,2006,30272,16168
1076,BRA,2007,30523,14671
1076,BRA,2008,32702,15053
1076,BRA,2009,33929,15249
1076,BRA,2010,35480,14458
1076,BRA,2011,35616,14458
1076,BRA,2012,38755,14458
1076,BRA,2013,39169,14518
1076,BRA,2014,41941,15121
1076,BRA,2015,41592,14399
1076,BRA,2016,45378,14850
1076,BRA,2017,49524,14734
